Parameter Distribution {'n_estimators': [10, 30, 50, 100, 150, 200, 250, 300, 400, 500, 600], 'max_features': ['auto', 'sqrt', 'log2'], 'max_depth': [3, 4, 5, 6, 7, 8, 9, 10, None], 'bootstrap': [True, False], 'min_samples_split': [2, 5, 10], 'min_samples_leaf': [1, 2, 4]}
Best: 0.706353 using {'n_estimators': 600, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 10, 'bootstrap': False}
0.690586 (0.003322) with: {'n_estimators': 30, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'auto', 'max_depth': 5, 'bootstrap': False}, std score of 0.003322, score rank of 56,
0.690353 (0.003599) with: {'n_estimators': 50, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 5, 'bootstrap': True}, std score of 0.003599, score rank of 58,
0.701193 (0.002755) with: {'n_estimators': 150, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'auto', 'max_depth': None, 'bootstrap': True}, std score of 0.002755, score rank of 24,
0.700710 (0.002432) with: {'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 7, 'bootstrap': False}, std score of 0.002432, score rank of 26,
0.665286 (0.004010) with: {'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': None, 'bootstrap': True}, std score of 0.004010, score rank of 98,
0.681984 (0.001891) with: {'n_estimators': 50, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'auto', 'max_depth': 4, 'bootstrap': False}, std score of 0.001891, score rank of 74,
0.705532 (0.003612) with: {'n_estimators': 30, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 10, 'bootstrap': False}, std score of 0.003612, score rank of 5,
0.687472 (0.002972) with: {'n_estimators': 30, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 5, 'bootstrap': False}, std score of 0.002972, score rank of 67,
0.706353 (0.003225) with: {'n_estimators': 600, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 10, 'bootstrap': False}, std score of 0.003225, score rank of 1,
0.687387 (0.003426) with: {'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': None, 'bootstrap': True}, std score of 0.003426, score rank of 68,
0.703936 (0.002322) with: {'n_estimators': 30, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'auto', 'max_depth': 8, 'bootstrap': False}, std score of 0.002322, score rank of 17,
0.700560 (0.002506) with: {'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'auto', 'max_depth': None, 'bootstrap': True}, std score of 0.002506, score rank of 30,
0.704280 (0.002465) with: {'n_estimators': 300, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 9, 'bootstrap': True}, std score of 0.002465, score rank of 12,
0.691687 (0.002756) with: {'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 5, 'bootstrap': True}, std score of 0.002756, score rank of 51,
0.693613 (0.001636) with: {'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 6, 'bootstrap': False}, std score of 0.001636, score rank of 49,
0.702634 (0.002242) with: {'n_estimators': 250, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'auto', 'max_depth': 8, 'bootstrap': False}, std score of 0.002242, score rank of 22,
0.702169 (0.002506) with: {'n_estimators': 150, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 8, 'bootstrap': False}, std score of 0.002506, score rank of 23,
0.695975 (0.003200) with: {'n_estimators': 500, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'auto', 'max_depth': None, 'bootstrap': True}, std score of 0.003200, score rank of 43,
0.696089 (0.002065) with: {'n_estimators': 600, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'auto', 'max_depth': 6, 'bootstrap': False}, std score of 0.002065, score rank of 42,
0.691610 (0.002829) with: {'n_estimators': 600, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'auto', 'max_depth': 5, 'bootstrap': True}, std score of 0.002829, score rank of 52,
0.703182 (0.002177) with: {'n_estimators': 500, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'auto', 'max_depth': 8, 'bootstrap': True}, std score of 0.002177, score rank of 20,
0.705324 (0.003031) with: {'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'auto', 'max_depth': 10, 'bootstrap': True}, std score of 0.003031, score rank of 8,
0.673809 (0.002387) with: {'n_estimators': 50, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 4, 'bootstrap': True}, std score of 0.002387, score rank of 86,
0.673214 (0.004072) with: {'n_estimators': 30, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 4, 'bootstrap': True}, std score of 0.004072, score rank of 87,
0.690001 (0.003725) with: {'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'auto', 'max_depth': None, 'bootstrap': False}, std score of 0.003725, score rank of 62,
0.691498 (0.002841) with: {'n_estimators': 250, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'auto', 'max_depth': 5, 'bootstrap': True}, std score of 0.002841, score rank of 53,
0.670083 (0.003860) with: {'n_estimators': 10, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': None, 'bootstrap': True}, std score of 0.003860, score rank of 89,
0.666862 (0.001942) with: {'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 3, 'bootstrap': True}, std score of 0.001942, score rank of 97,
0.670575 (0.002376) with: {'n_estimators': 30, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 3, 'bootstrap': True}, std score of 0.002376, score rank of 88,
0.700170 (0.002561) with: {'n_estimators': 150, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 7, 'bootstrap': False}, std score of 0.002561, score rank of 33,
0.704739 (0.003061) with: {'n_estimators': 50, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 10, 'bootstrap': False}, std score of 0.003061, score rank of 11,
0.704879 (0.002747) with: {'n_estimators': 30, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 10, 'bootstrap': True}, std score of 0.002747, score rank of 10,
0.705801 (0.002682) with: {'n_estimators': 600, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 10, 'bootstrap': True}, std score of 0.002682, score rank of 4,
0.688123 (0.001903) with: {'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 5, 'bootstrap': True}, std score of 0.001903, score rank of 66,
0.700591 (0.002121) with: {'n_estimators': 600, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 7, 'bootstrap': False}, std score of 0.002121, score rank of 29,
0.705907 (0.002050) with: {'n_estimators': 50, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 10, 'bootstrap': True}, std score of 0.002050, score rank of 3,
0.668555 (0.001177) with: {'n_estimators': 150, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 3, 'bootstrap': False}, std score of 0.001177, score rank of 94,
0.689113 (0.002148) with: {'n_estimators': 50, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': None, 'bootstrap': True}, std score of 0.002148, score rank of 64,
0.705392 (0.002793) with: {'n_estimators': 250, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 10, 'bootstrap': False}, std score of 0.002793, score rank of 7,
0.694142 (0.001975) with: {'n_estimators': 400, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 6, 'bootstrap': False}, std score of 0.001975, score rank of 47,
0.668743 (0.001024) with: {'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 3, 'bootstrap': True}, std score of 0.001024, score rank of 93,
0.678341 (0.003065) with: {'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'auto', 'max_depth': 4, 'bootstrap': True}, std score of 0.003065, score rank of 75,
0.688191 (0.002146) with: {'n_estimators': 50, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 5, 'bootstrap': True}, std score of 0.002146, score rank of 65,
0.676287 (0.002687) with: {'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 4, 'bootstrap': False}, std score of 0.002687, score rank of 81,
0.690119 (0.004520) with: {'n_estimators': 50, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': None, 'bootstrap': True}, std score of 0.004520, score rank of 61,
0.675710 (0.003259) with: {'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': None, 'bootstrap': True}, std score of 0.003259, score rank of 82,
0.705431 (0.002427) with: {'n_estimators': 10, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 10, 'bootstrap': False}, std score of 0.002427, score rank of 6,
0.691337 (0.003121) with: {'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 5, 'bootstrap': True}, std score of 0.003121, score rank of 54,
0.704957 (0.002571) with: {'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 10, 'bootstrap': False}, std score of 0.002571, score rank of 9,
0.687095 (0.005009) with: {'n_estimators': 10, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'auto', 'max_depth': 5, 'bootstrap': False}, std score of 0.005009, score rank of 69,
0.698429 (0.001428) with: {'n_estimators': 600, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 7, 'bootstrap': False}, std score of 0.001428, score rank of 37,
0.693961 (0.001750) with: {'n_estimators': 250, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 6, 'bootstrap': True}, std score of 0.001750, score rank of 48,
0.696589 (0.002670) with: {'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'auto', 'max_depth': 6, 'bootstrap': True}, std score of 0.002670, score rank of 39,
0.677846 (0.002656) with: {'n_estimators': 600, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'auto', 'max_depth': 4, 'bootstrap': False}, std score of 0.002656, score rank of 76,
0.703983 (0.002849) with: {'n_estimators': 150, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 8, 'bootstrap': True}, std score of 0.002849, score rank of 15,
0.700622 (0.002052) with: {'n_estimators': 600, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 7, 'bootstrap': True}, std score of 0.002052, score rank of 28,
0.703634 (0.002840) with: {'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 9, 'bootstrap': True}, std score of 0.002840, score rank of 18,
0.689812 (0.002605) with: {'n_estimators': 10, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 6, 'bootstrap': False}, std score of 0.002605, score rank of 63,
0.674436 (0.002124) with: {'n_estimators': 500, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 4, 'bootstrap': True}, std score of 0.002124, score rank of 84,
0.706132 (0.002911) with: {'n_estimators': 250, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 10, 'bootstrap': True}, std score of 0.002911, score rank of 2,
0.677846 (0.002656) with: {'n_estimators': 600, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 4, 'bootstrap': False}, std score of 0.002656, score rank of 76,
0.674996 (0.005008) with: {'n_estimators': 500, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': None, 'bootstrap': False}, std score of 0.005008, score rank of 83,
0.696244 (0.003073) with: {'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 6, 'bootstrap': True}, std score of 0.003073, score rank of 41,
0.700426 (0.001317) with: {'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'auto', 'max_depth': 7, 'bootstrap': True}, std score of 0.001317, score rank of 31,
0.700671 (0.002218) with: {'n_estimators': 600, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': None, 'bootstrap': True}, std score of 0.002218, score rank of 27,
0.677155 (0.003186) with: {'n_estimators': 150, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': None, 'bootstrap': True}, std score of 0.003186, score rank of 79,
0.677551 (0.002761) with: {'n_estimators': 600, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 4, 'bootstrap': False}, std score of 0.002761, score rank of 78,
0.696504 (0.004788) with: {'n_estimators': 10, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': None, 'bootstrap': True}, std score of 0.004788, score rank of 40,
0.700159 (0.002251) with: {'n_estimators': 600, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 7, 'bootstrap': False}, std score of 0.002251, score rank of 34,
0.704105 (0.003224) with: {'n_estimators': 30, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 9, 'bootstrap': True}, std score of 0.003224, score rank of 13,
0.673954 (0.002127) with: {'n_estimators': 400, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 4, 'bootstrap': True}, std score of 0.002127, score rank of 85,
0.668555 (0.001177) with: {'n_estimators': 150, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 3, 'bootstrap': False}, std score of 0.001177, score rank of 94,
0.668886 (0.000717) with: {'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'auto', 'max_depth': 3, 'bootstrap': False}, std score of 0.000717, score rank of 92,
0.691717 (0.002753) with: {'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 5, 'bootstrap': True}, std score of 0.002753, score rank of 50,
0.696765 (0.002955) with: {'n_estimators': 400, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'auto', 'max_depth': 6, 'bootstrap': True}, std score of 0.002955, score rank of 38,
0.662368 (0.005494) with: {'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': None, 'bootstrap': False}, std score of 0.005494, score rank of 100,
0.703964 (0.003968) with: {'n_estimators': 50, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 8, 'bootstrap': True}, std score of 0.003968, score rank of 16,
0.690995 (0.003333) with: {'n_estimators': 150, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 5, 'bootstrap': False}, std score of 0.003333, score rank of 55,
0.703265 (0.002459) with: {'n_estimators': 150, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 8, 'bootstrap': True}, std score of 0.002459, score rank of 19,
0.699869 (0.002314) with: {'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 7, 'bootstrap': False}, std score of 0.002314, score rank of 35,
0.667632 (0.001186) with: {'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 3, 'bootstrap': False}, std score of 0.001186, score rank of 96,
0.686145 (0.003178) with: {'n_estimators': 30, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 5, 'bootstrap': True}, std score of 0.003178, score rank of 72,
0.694298 (0.001147) with: {'n_estimators': 600, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 6, 'bootstrap': True}, std score of 0.001147, score rank of 46,
0.662549 (0.005168) with: {'n_estimators': 10, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': None, 'bootstrap': False}, std score of 0.005168, score rank of 99,
0.703150 (0.001798) with: {'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 8, 'bootstrap': False}, std score of 0.001798, score rank of 21,
0.701037 (0.002402) with: {'n_estimators': 50, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': None, 'bootstrap': True}, std score of 0.002402, score rank of 25,
0.669231 (0.001144) with: {'n_estimators': 500, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'auto', 'max_depth': 3, 'bootstrap': False}, std score of 0.001144, score rank of 90,
0.698570 (0.001687) with: {'n_estimators': 400, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 7, 'bootstrap': False}, std score of 0.001687, score rank of 36,
0.676428 (0.002572) with: {'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'auto', 'max_depth': 4, 'bootstrap': False}, std score of 0.002572, score rank of 80,
0.684238 (0.004404) with: {'n_estimators': 30, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': None, 'bootstrap': False}, std score of 0.004404, score rank of 73,
0.700360 (0.001756) with: {'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 7, 'bootstrap': False}, std score of 0.001756, score rank of 32,
0.669231 (0.001144) with: {'n_estimators': 500, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 3, 'bootstrap': False}, std score of 0.001144, score rank of 90,
0.687019 (0.001636) with: {'n_estimators': 50, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 5, 'bootstrap': True}, std score of 0.001636, score rank of 70,
0.690469 (0.004036) with: {'n_estimators': 150, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': None, 'bootstrap': False}, std score of 0.004036, score rank of 57,
0.690315 (0.004410) with: {'n_estimators': 30, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 5, 'bootstrap': True}, std score of 0.004410, score rank of 59,
0.690142 (0.003406) with: {'n_estimators': 10, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 6, 'bootstrap': True}, std score of 0.003406, score rank of 60,
0.694954 (0.002391) with: {'n_estimators': 50, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 6, 'bootstrap': True}, std score of 0.002391, score rank of 45,
0.704066 (0.002436) with: {'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 9, 'bootstrap': False}, std score of 0.002436, score rank of 14,
0.695541 (0.005962) with: {'n_estimators': 10, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 7, 'bootstrap': False}, std score of 0.005962, score rank of 44,
0.686938 (0.004836) with: {'n_estimators': 10, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 5, 'bootstrap': True}, std score of 0.004836, score rank of 71,
